Year,rcp45_tmax,rcp45_tmin,rcp85_tmax,rcp85_tmin
1961,23.12939453125,10.3584566116333,23.12939453125,10.3584566116333
1962,22.3057804107666,9.932024002075195,22.3057804107666,9.932024002075195
1963,23.27921867370605,11.001577377319336,23.27921867370605,11.001577377319336
1964,21.499553680419922,8.91694164276123,21.499553680419922,8.91694164276123
1965,22.72535514831543,10.307479858398438,22.72535514831543,10.307479858398438
1966,23.50662612915039,10.584150314331056,23.50662612915039,10.584150314331056
1967,22.160446166992188,9.755136489868164,22.160446166992188,9.755136489868164
1968,22.208755493164066,10.18389129638672,22.208755493164066,10.18389129638672
1969,20.332429885864254,9.052228927612305,20.332429885864254,9.052228927612305
1970,22.95439147949219,10.62423324584961,22.95439147949219,10.62423324584961
1971,23.336727142333984,10.623191833496094,23.336727142333984,10.623191833496094
1972,20.384578704833984,8.374471664428711,20.384578704833984,8.374471664428711
1973,22.81094741821289,10.30891227722168,22.81094741821289,10.30891227722168
1974,21.05005073547364,9.05880355834961,21.05005073547364,9.05880355834961
1975,22.74265098571777,10.06563949584961,22.74265098571777,10.06563949584961
1976,21.586898803710934,9.600666046142578,21.586898803710934,9.600666046142578
1977,22.47954559326172,10.85385513305664,22.47954559326172,10.85385513305664
1978,22.271080017089844,10.258044242858887,22.271080017089844,10.258044242858887
1979,22.88922119140625,10.681069374084473,22.88922119140625,10.681069374084473
1980,22.65209197998047,10.803661346435547,22.65209197998047,10.803661346435547
1981,23.05096435546875,11.195240020751953,23.05096435546875,11.195240020751953
1982,21.45050811767578,9.80817413330078,21.45050811767578,9.80817413330078
1983,23.602113723754893,11.062861442565918,23.602113723754893,11.062861442565918
1984,21.665740966796875,9.951339721679688,21.665740966796875,9.951339721679688
1985,23.00385093688965,10.532024383544922,23.00385093688965,10.532024383544922
1986,22.507322311401367,10.284627914428713,22.507322311401367,10.284627914428713
1987,23.38475227355957,10.992679595947266,23.38475227355957,10.992679595947266
1988,23.331756591796875,11.147714614868164,23.331756591796875,11.147714614868164
1989,23.161075592041016,10.530765533447266,23.161075592041016,10.530765533447266
1990,23.0584716796875,10.98751449584961,23.0584716796875,10.98751449584961
1991,22.3748779296875,10.93324089050293,22.3748779296875,10.93324089050293
1992,21.759056091308594,10.250904083251953,21.759056091308594,10.250904083251953
1993,21.54883575439453,10.310300827026367,21.54883575439453,10.310300827026367
1994,22.283601760864254,10.827814102172852,22.283601760864254,10.827814102172852
1995,23.887290954589844,11.337297439575195,23.887290954589844,11.337297439575195
1996,22.54568862915039,10.443482398986816,22.54568862915039,10.443482398986816
1997,23.325593948364247,11.26876449584961,23.325593948364247,11.26876449584961
1998,23.09675216674805,11.387231826782227,23.09675216674805,11.387231826782227
1999,23.97689819335937,11.656980514526367,23.97689819335937,11.656980514526367
2000,23.64480018615723,11.477727890014648,23.64480018615723,11.477727890014648
2001,24.07917404174805,11.713621139526367,24.07917404174805,11.713621139526367
2002,23.743932723999023,11.610149383544922,23.743932723999023,11.610149383544922
2003,22.77242660522461,10.961971282958984,22.77242660522461,10.961971282958984
2004,23.55465316772461,11.366703987121582,23.55465316772461,11.366703987121582
2005,23.35856056213379,11.188230514526367,23.35856056213379,11.188230514526367
2006,23.68173599243164,11.54778003692627,23.68173599243164,11.54778003692627
2007,23.13842010498047,10.669654846191406,23.13842010498047,10.669654846191406
2008,23.093021392822266,10.84955883026123,23.093021392822266,10.84955883026123
2009,23.173858642578125,11.389294624328613,23.173858642578125,11.389294624328613
2010,24.48329925537109,11.832155227661133,24.48329925537109,11.832155227661133
2011,22.68138885498047,11.237232208251953,22.68138885498047,11.237232208251953
2012,22.96127319335937,10.781763076782227,22.96127319335937,10.781763076782227
2013,23.940807342529297,11.89506721496582,23.940807342529297,11.89506721496582
2014,23.0870304107666,11.033283233642578,23.0870304107666,11.033283233642578
2015,23.266326904296875,12.047736167907715,23.266326904296875,12.047736167907715
2016,23.680065155029297,11.99827766418457,23.680065155029297,11.99827766418457
2017,23.628286361694336,11.454549789428713,23.628286361694336,11.454549789428713
2018,23.70580291748047,12.006546020507812,23.70580291748047,12.006546020507812
2019,24.500030517578125,11.234420776367188,24.500030517578125,11.234420776367188
2020,24.40226745605469,11.151290893554688,24.40226745605469,11.151290893554688
2021,24.481170654296875,11.250091552734377,24.61566162109375,11.38787841796875
2022,24.30914306640625,11.18243408203125,24.48748779296875,11.3221435546875
2023,24.50521850585937,11.30670166015625,24.604400634765625,11.292236328125
2024,24.388458251953125,11.268402099609375,24.597625732421875,11.447845458984375
2025,24.48910522460937,11.32708740234375,24.69744873046875,11.49822998046875
2026,24.28515625,11.082611083984377,24.640167236328125,11.475738525390625
2027,24.734130859375,11.436187744140625,25.0205078125,11.823028564453125
2028,24.77838134765625,11.5145263671875,24.86627197265625,11.700347900390625
2029,24.786041259765625,11.476593017578125,25.0347900390625,11.76129150390625
2030,24.626678466796875,11.427886962890625,24.919403076171875,11.608642578125
2031,24.77410888671875,11.515960693359375,25.21005249023437,11.932464599609375
2032,24.916656494140625,11.586639404296875,24.9412841796875,11.708709716796875
2033,24.86434936523437,11.59881591796875,25.22323608398437,11.97454833984375
2034,25.115509033203125,11.89111328125,25.19491577148437,11.9761962890625
2035,24.900390625,11.709808349609375,25.24920654296875,11.961212158203125
2036,25.22186279296875,11.878509521484375,25.436553955078125,12.123077392578125
2037,24.96661376953125,11.739410400390625,25.18319702148437,11.9415283203125
2038,25.203277587890625,11.87921142578125,25.458984375,12.1304931640625
2039,24.912506103515625,11.7005615234375,25.554443359375,12.248291015625
