ISO code,Country,Fertility,Year,Age,Male population,Female population,Total population
IRN,IRN,Medium,1950,0-4,39.35750105326512,38.80238820343063,78.15988925669575
IRN,IRN,Medium,1950,5-9,28.89359299428227,28.31075534155883,57.204348335841104
IRN,IRN,Medium,1950,10-14,28.36629746614505,27.783398134216068,56.14969560036112
IRN,IRN,Medium,1950,15-19,27.200529641889858,26.57602768582606,53.77655732771591
IRN,IRN,Medium,1950,20-24,24.613056130003006,23.903806945531148,48.516863075534154
IRN,IRN,Medium,1950,25-29,22.90765693650316,21.98249969304845,44.89015662955161
IRN,IRN,Medium,1950,30-34,16.9618123623232,16.036593439662955,32.99840580198615
IRN,IRN,Medium,1950,35-39,14.89549729762263,13.036671080349082,27.93216837797171
IRN,IRN,Medium,1950,40-44,13.56936353897081,12.860114354498947,26.429477893469755
IRN,IRN,Medium,1950,45-49,11.965735034607283,11.410622184772796,23.37635721938008
IRN,IRN,Medium,1950,50-54,9.251880830574782,9.8069628408065,19.058843671381283
IRN,IRN,Medium,1950,55-59,8.172525573277158,8.234143099608788,16.406668672885946
IRN,IRN,Medium,1950,60-64,7.925839590731266,7.278084574179958,15.203924164911225
IRN,IRN,Medium,1950,65-69,6.137111790550706,5.612776864279266,11.749888654829972
IRN,IRN,Medium,1950,70-74,4.410063195907313,3.9474074751730357,8.357470671080348
IRN,IRN,Medium,1950,75-79,2.559717869395125,2.4054581763466745,4.965176045741799
IRN,IRN,Medium,1950,80-84,1.0304436473066507,0.9679317724947336,1.998375419801384
IRN,IRN,Medium,1950,85-89,0.3203617935600361,0.31255937405958467,0.6329211676196209
IRN,IRN,Medium,1950,90-94,0.06087737586518206,0.06679857959674992,0.12767595546193197
IRN,IRN,Medium,1950,95-99,0.006476316581402347,0.008727607583508878,0.015203924164911224
IRN,IRN,Medium,1950,100+,0.0004317544387601564,0.0007401504664459825,0.0011719049052061389
IRN,IRN,Medium,1951,0-4,42.98982030695155,41.96798090881734,84.95780121576888
IRN,IRN,Medium,1951,5-9,29.59013626241348,28.923846644598253,58.51398290701173
IRN,IRN,Medium,1951,10-14,28.13842364128799,27.50556415287391,55.6439877941619
IRN,IRN,Medium,1951,15-19,27.450762178754132,26.78490431537767,54.23566649413182
IRN,IRN,Medium,1951,20-24,24.94186797472164,24.203722082455613,49.14559005717725
IRN,IRN,Medium,1951,25-29,23.47010961179657,22.488361697261507,45.95847130905808
IRN,IRN,Medium,1951,30-34,17.874387047848327,16.96400197411977,34.8383890219681
IRN,IRN,Medium,1951,35-39,15.040597628648811,13.171717700872707,28.212315329521516
IRN,IRN,Medium,1951,40-44,13.675143376467048,12.720966066807103,26.396109443274142
IRN,IRN,Medium,1951,45-49,12.194873283177852,11.518591634065602,23.713464917243453
IRN,IRN,Medium,1951,50-54,9.4877421125489,9.882797424014443,19.370539536563346
IRN,IRN,Medium,1951,55-59,7.993871754438759,8.215886054769785,16.209757809208547
IRN,IRN,Medium,1951,60-64,7.688868083057478,7.201972434547096,14.890840517604573
IRN,IRN,Medium,1951,65-69,6.131283105627445,5.630201239843515,11.761484345470958
IRN,IRN,Medium,1951,70-74,4.394828432139633,3.9211321336142038,8.315960565753835
IRN,IRN,Medium,1951,75-79,2.615383352392416,2.420877977730966,5.0362613301233825
IRN,IRN,Medium,1951,80-84,1.1061240325007522,1.0439513933192897,2.1500754258200416
IRN,IRN,Medium,1951,85-89,0.3485491904905206,0.33701517905507067,0.6855643695455913
IRN,IRN,Medium,1951,90-94,0.07336741498645802,0.07839427023773697,0.15176168522419495
IRN,IRN,Medium,1951,95-99,0.007864098705988564,0.010146229310863676,0.018010328016852244
IRN,IRN,Medium,1951,100+,0.0004317544387601564,0.0007401504664459825,0.0011719049052061389
IRN,IRN,Medium,1952,0-4,46.87138523021366,45.11281856154078,91.98420379175444
IRN,IRN,Medium,1952,5-9,30.63084949744207,29.934460427324705,60.56530992476678
IRN,IRN,Medium,1952,10-14,27.807514703581102,27.135396400842613,54.94291110442372
IRN,IRN,Medium,1952,15-19,27.606132097502254,26.940798507372854,54.54693060487511
IRN,IRN,Medium,1952,20-24,25.349937598555524,24.607443322299122,49.957380920854646
