Year,rcp45_smi,rcp85_smi
1979,0.21050633610905828,0.21050633610905828
1980,0.176901456472036,0.176901456472036
1981,0.177022495785275,0.177022495785275
1982,0.16295144364640518,0.16295144364640518
1983,0.15919408282718142,0.15919408282718142
1984,0.15011601834683805,0.15011601834683805
1985,0.14734827505575646,0.14734827505575646
1986,0.15149025014928869,0.15149025014928869
1987,0.1472982458166174,0.1472982458166174
1988,0.15279342032767632,0.15279342032767632
1989,0.1502749726578996,0.1502749726578996
1990,0.15465986406480944,0.15465986406480944
1991,0.17232041745572474,0.17232041745572474
1992,0.1743288684535671,0.1743288684535671
1993,0.17648122117326065,0.17648122117326065
1994,0.17128470137312607,0.17128470137312607
1995,0.16154843407708244,0.16154843407708244
1996,0.15853727186048353,0.15853727186048353
1997,0.16657687522269585,0.16657687522269585
1998,0.1725054173856168,0.1725054173856168
1999,0.16873955082248998,0.16873955082248998
2000,0.1537482416307604,0.1537482416307604
2001,0.1502352405238796,0.1502352405238796
2002,0.1771167548927101,0.1771167548927101
2003,0.20020335429423566,0.20020335429423566
2004,0.18481685019828176,0.18481685019828176
2005,0.1870531649202914,0.1870531649202914
2006,0.18058426315720014,0.18058426315720014
2007,0.18751946011105106,0.18751946011105106
2008,0.1790906674153096,0.1790906674153096
2009,0.19906667760900548,0.19906667760900548
2010,0.19440511755041173,0.19440511755041173
2011,0.1809446747238572,0.1809446747238572
2012,0.1860367800738361,0.1860367800738361
2013,0.18989601650753526,0.18989601650753526
2014,0.1908696406596416,0.1908696406596416
2015,0.1940198460140744,0.1940198460140744
2016,0.1906285285949707,0.1906285285949707
2017,0.1859049152683568,0.1859049152683568
2018,0.1908117500511376,0.1908117500511376
2019,0.1972562200281059,0.1972562200281059
2020,0.1949493669490973,0.1949493669490973
2021,0.1987081205941557,0.1981408275670242
2022,0.1970629091861999,0.1993111987283443
2023,0.1961420978097112,0.1927416342938664
2024,0.19606510254142456,0.1936752281657918
2025,0.1948463761626601,0.194338689508092
2026,0.1927922576582573,0.19229417551656675
2027,0.19078523162193967,0.19307262899760885
2028,0.190156427803944,0.1906927602245368
2029,0.19228668851855305,0.19095286390023364
2030,0.19243361692805167,0.19276742244834585
2031,0.19130927545392235,0.1882663905148108
2032,0.18821683349333776,0.19018916132018807
2033,0.19202164830726984,0.19121206466690413
2034,0.1888344718086567,0.19115801698244184
2035,0.18864695564745232,0.18522113189974315
2036,0.18821085049075287,0.1890556525215149
2037,0.1903092375695445,0.1903092375695445
2038,0.1867069897857338,0.1867069897857338
2039,0.18669928215847115,0.19013024689171865
2040,0.1877445935697812,0.1857875043375624
2041,0.19117589366571933,0.19316070139989927
2042,0.19029998470739645,0.1886851373503981
2043,0.18996791923702627,0.19132847566440184
2044,0.1919455319757032,0.1920610632339937
2045,0.18682786303521653,0.18904951537987694
2046,0.18812446934698304,0.18668531343745198
2047,0.1846825236798094,0.18737384386116115
2048,0.1850068106179993,0.1882153308099988
2049,0.18431640880581515,0.18941147915356604
2050,0.18757939134709686,0.18758084745019574
2051,0.1929145691955189,0.18706905667952856
2052,0.19114445475953112,0.1898448536475454
2053,0.19150188296786952,0.1877511501469522
2054,0.1889582025691062,0.18571214115459048
2055,0.18604356050408608,0.18977759971095004
2056,0.18937362316596848,0.1904141218265205
2057,0.18749552388987886,0.18807184031656354
2058,0.1844836853000328,0.1899999752235325
2059,0.1874474326662449,0.1850811452606714
2060,0.19031873281538714,0.19017865173255216
2061,0.18971346070733075,0.18444683516175675
2062,0.18486519150710512,0.1858133997326431
2063,0.18840840262005887,0.19338322983876724
2064,0.18846770544197167,0.18712040075468173
2065,0.186000641573072,0.19055315333465567
2066,0.18656454350411328,0.1867216067398144
2067,0.19001942880656447,0.1926393095956524
2068,0.1844924429081901,0.1920051436701268
2069,0.19056277980034067,0.1870267180530768
2070,0.19172595804668824,0.1904604176234459
2071,0.18841063139765024,0.18737491889398086
2072,0.18907007134244266,0.19182311878802824
2073,0.18564123867606994,0.1903808393439736
2074,0.1866341840700141,0.18720822987355712
2075,0.1828316358596905,0.1847138707713596
2076,0.18719809775329546,0.1863920937928807
2077,0.188833768364002,0.18769346993907293
2078,0.1879575367911864,0.18832507348630947
2079,0.182454321861494,0.1880692862528077
2080,0.19264481076364912,0.1890905371379475
2081,0.19176857018504853,0.1901490726213627
2082,0.18908650902144053,0.18826994901386127
2083,0.1884478836370419,0.1886408435956296
2084,0.1886268099331167,0.1878941070703889
2085,0.186078803916302,0.18638371528777067
2086,0.18548281755348545,0.18785942965613808
2087,0.18811578080351926,0.1902799025806156
2088,0.18687111077193397,0.1875070604222594
2089,0.19349608133360074,0.1886953816856749
2090,0.1844282720769176,0.1870090069498856
2091,0.18934585158232786,0.1901823601407664
2092,0.18857559274038005,0.1869620592401455
2093,0.18668771736430065,0.1848330529431461
2094,0.18476774115279607,0.184334673860921
2095,0.18880408194118387,0.1857138194452979
2096,0.18466023027025505,0.1879838803961716
2097,0.1859476584557044,0.1875305480876124
2098,0.19026968127416755,0.18848686553606486
2099,0.19100218752122786,0.1912602966916836
