Year,rcp45_ndvi,rcp85_ndvi
1982,0.1069187751183143,0.1069187751183143
1983,0.11818393560556265,0.11818393560556265
1984,0.12137361673208386,0.12137361673208386
1985,0.12245575831486627,0.12245575831486627
1986,0.114229128910945,0.114229128910945
1987,0.11003937354454628,0.11003937354454628
1988,0.1206148441021259,0.1206148441021259
1989,0.09647890237661508,0.09647890237661508
1990,0.13274007943960334,0.13274007943960334
1991,0.12940045870267428,0.12940045870267428
1992,0.11978453122652495,0.11978453122652495
1993,0.12508453956017127,0.12508453956017127
1994,0.1506212674654447,0.1506212674654447
1995,0.14354449052077073,0.14354449052077073
1996,0.12648742382342998,0.12648742382342998
1997,0.15176910987267128,0.15176910987267128
1998,0.14227984501765326,0.14227984501765326
1999,0.13296761145958533,0.13296761145958533
2000,0.13202645228459284,0.13202645228459284
2001,0.1494121404794546,0.1494121404794546
2002,0.14968267587515025,0.14968267587515025
2003,0.12422334230863133,0.12422334230863133
2004,0.13040278508112982,0.13040278508112982
2005,0.12706216665414666,0.12706216665414666
2006,0.13480609013484074,0.13480609013484074
2007,0.14662193885216346,0.14662193885216346
2008,0.12112876451932468,0.12112876451932468
2009,0.13138524568997895,0.13138524568997895
2010,0.12668668306790865,0.12668668306790865
2011,0.12254623266366813,0.12254623266366813
2012,0.12814857776348407,0.12814857776348407
2013,0.13596696120042068,0.13596696120042068
2014,0.1210675386282114,0.1210675386282114
2015,0.11436151357797475,0.11436151357797475
2016,0.11967623783991888,0.11967623783991888
2017,0.1264291469867413,0.1264291469867413
2018,0.13216805091271033,0.13216805091271033
2019,0.1314119169502399,0.1314119169502399
2020,0.12989790367753978,0.12989790367753978
2021,0.13132885932512015,0.1304688069293764
2022,0.12959538401217507,0.12850321895265576
2023,0.13015930206112344,0.13122790885259036
2024,0.13166965825352578,0.13038469808961614
2025,0.13293076755742764,0.1323778678363492
2026,0.12996278650310386,0.13133931465720694
2027,0.1332218265062709,0.13515908681505934
2028,0.1338542458054275,0.13495040704798908
2029,0.13268143907928825,0.1353380339127315
2030,0.13102965915545492,0.13369473492436576
2031,0.13386132272323764,0.13795959822233028
2032,0.1340005450091405,0.1370543658495941
2033,0.1339946242002394,0.1383474069387583
2034,0.1378734988531495,0.1392976299361809
2035,0.13486481426852093,0.138141103443223
2036,0.1378656605581247,0.1413238470837984
2037,0.1358684632185169,0.13761265948492893
2038,0.14010190721749186,0.14038915528624318
2039,0.13753812032219065,0.14268137566953695
2040,0.13920921386370394,0.1425086897402758
2041,0.13802557168729687,0.1408869608926916
2042,0.13637433269352384,0.14290556871701032
2043,0.13753175666955236,0.14172545824014535
2044,0.1358960994509631,0.14198719185245215
2045,0.13961447490685785,0.14193124263934928
2046,0.13949086683366432,0.14647562476370068
2047,0.1404300720247746,0.14513813179157764
2048,0.14231509348412585,0.1466028967655321
2049,0.14416965949084312,0.14751262893000708
2050,0.1436449087628803,0.14926748870970294
2051,0.14211459433935278,0.14726431912425764
2052,0.14104176710647032,0.14865190478096862
2053,0.1421961827019058,0.14999335086534482
2054,0.14452958509075867,0.15019566835684536
2055,0.14234172213536989,0.15146761835931424
2056,0.14362622056080407,0.15225441427136546
2057,0.1440585789184625,0.1565644299834154
2058,0.14546606859744984,0.15500899609918894
2059,0.14726969872505302,0.1547839823980482
2060,0.14466297623755206,0.15352813652868222
2061,0.14598362628914652,0.15772149409261274
2062,0.144990850875581,0.15798070792904767
2063,0.14656481613883746,0.15724305568648622
2064,0.14581062180359364,0.1593393395726772
2065,0.14752635875468653,0.15704722788165562
2066,0.14661838717867715,0.16086179522497918
2067,0.14536434384383104,0.15910021565806876
2068,0.14824264449441593,0.15996377488836272
2069,0.1468357480305431,0.16124338322247292
2070,0.1478928085048947,0.1627460008502186
2071,0.1467274490277496,0.1639655233378874
2072,0.14839083344841064,0.16231329804845254
2073,0.14994872619380822,0.1624412629807473
2074,0.15046811713658326,0.16807385552621198
2075,0.15011539726468748,0.16675652161696422
2076,0.15000673364464587,0.16955734272717807
2077,0.14879040819591735,0.1691365018609083
2078,0.14795027765410834,0.16904198823788494
2079,0.15022748125190655,0.17248116387199489
2080,0.15009949319671606,0.1708750848262658
2081,0.14920696542848574,0.17101702198166313
2082,0.14670501490207016,0.17127208012889195
2083,0.149427732139651,0.17356927224347055
2084,0.14981792678835326,0.17373332417399484
2085,0.15040250404130373,0.17421450445622466
2086,0.15153787870648333,0.17529040284226285
2087,0.1497050027803346,0.17380696612921065
2088,0.15053518086927611,0.17694865787616948
2089,0.1492235222370249,0.1786435610282338
2090,0.15111884252964022,0.1775184763059595
2091,0.14917270661971127,0.17949674568091525
2092,0.1502641751496519,0.1784127600929608
2093,0.15244397980686855,0.18377954471655025
2094,0.15214009123200625,0.18285670155121134
2095,0.1512264154212145,0.18337044045845932
2096,0.1495624702579825,0.18508380467941912
2097,0.1514417904936597,0.18342617558145585
2098,0.15162035134843851,0.18181192114580413
2099,0.15120795068035445,0.1843944402599244
