Year,rcp45_ndvi,rcp85_ndvi
1982,0.13953149792499875,0.13953149792499875
1983,0.14102523391311236,0.14102523391311236
1984,0.11958305710639408,0.11958305710639408
1985,0.12793400556749304,0.12793400556749304
1986,0.13460505596215472,0.13460505596215472
1987,0.13403448884172545,0.13403448884172545
1988,0.12320983353025015,0.12320983353025015
1989,0.10067786624587018,0.10067786624587018
1990,0.14044359264767986,0.14044359264767986
1991,0.132680774682656,0.132680774682656
1992,0.13249997380048936,0.13249997380048936
1993,0.13472820579152794,0.13472820579152794
1994,0.14757107247987875,0.14757107247987875
1995,0.15197609566353462,0.15197609566353462
1996,0.14014926055277474,0.14014926055277474
1997,0.1391764339089204,0.1391764339089204
1998,0.15485423320048566,0.15485423320048566
1999,0.1528360460824163,0.1528360460824163
2000,0.14843686927104033,0.14843686927104033
2001,0.13596763671486858,0.13596763671486858
2002,0.1426744324603786,0.1426744324603786
2003,0.13707622776728934,0.13707622776728934
2004,0.14455077833894325,0.14455077833894325
2005,0.137587894506409,0.137587894506409
2006,0.1260631300497131,0.1260631300497131
2007,0.1328033786888911,0.1328033786888911
2008,0.1070281303175303,0.1070281303175303
2009,0.13317462332866528,0.13317462332866528
2010,0.1182075464100072,0.1182075464100072
2011,0.0969725519371336,0.0969725519371336
2012,0.12073935310109052,0.12073935310109052
2013,0.1279954773822536,0.1279954773822536
2014,0.10417415455149542,0.10417415455149542
2015,0.136927545544453,0.136927545544453
2016,0.12065732194812576,0.12065732194812576
2017,0.1280429276070648,0.1280429276070648
2018,0.09381652371113933,0.09381652371113933
2019,0.1035783052041612,0.1035783052041612
2020,0.10308043743904896,0.10308043743904896
2021,0.1067655080496967,0.1053782854802674
2022,0.10355237365142048,0.10315622765952796
2023,0.10524679981002433,0.09919328481033424
2024,0.10364273487859556,0.10226909361371432
2025,0.1044516928222905,0.10344234483300384
2026,0.0991821175013988,0.10139278472093058
2027,0.10216220538717916,0.10426175871668496
2028,0.10020615135922142,0.09867050428399947
2029,0.09942959373190684,0.10084220497878188
2030,0.09719313935559312,0.09821413097647948
2031,0.0994053480281084,0.10093338841133416
2032,0.0967706053015209,0.09637530819164722
2033,0.10120971439506099,0.0994995503721438
2034,0.09770920261085043,0.1002088450573946
2035,0.09728965189748318,0.0936264711177356
2036,0.09590434198089384,0.09638436055732794
2037,0.0985675614063855,0.09366922351369128
2038,0.0951422243967218,0.09380002083746017
2039,0.0920566696967644,0.0965491302293005
2040,0.0935480573661824,0.0908196572880924
2041,0.09316615649780308,0.09656295165096647
2042,0.09189973045744723,0.09468694676404568
2043,0.09134187221943604,0.09387163104223073
2044,0.09051716845620232,0.0913730645255824
2045,0.0879971480803119,0.09005966820753802
2046,0.08710351292204385,0.09248133631481913
2047,0.08322421751844937,0.09172325551596644
2048,0.08541643732618545,0.08825823904431526
2049,0.08757501865902223,0.09394884243331256
2050,0.08806293146219438,0.0890154023822364
2051,0.0893697093448741,0.08656212626727489
2052,0.08658255264131923,0.09045054019333396
2053,0.09043683616642434,0.0902535434277772
2054,0.08555596687280417,0.08729162193152087
2055,0.08338497785728571,0.08924655089616201
2056,0.08400761560074048,0.08962376245780404
2057,0.0816896740910883,0.09154541327365023
2058,0.08030351692541646,0.0902464208273208
2059,0.08316826344172884,0.08631224066822085
2060,0.08117108543527954,0.08912120451897157
2061,0.08107126909584061,0.08691152204877484
2062,0.07635184057732894,0.08620280789525728
2063,0.0775311694716776,0.08958649012897585
2064,0.07578427368931615,0.08612323946710662
2065,0.07487326716149427,0.08578920957377506
2066,0.07319384363434964,0.08436445689965541
2067,0.07319460608776784,0.09084029598672194
2068,0.06973013696814531,0.08423686818933543
2069,0.07458805926493284,0.08465490901144572
2070,0.07447428734781078,0.08812443940047418
2071,0.06903711144553037,0.08316892514293889
2072,0.07054792874381363,0.08526808128661331
2073,0.07010803925380528,0.08229799776236091
2074,0.06983375810107542,0.08171275190809221
2075,0.06603334199952815,0.07952071142899808
2076,0.06708504699167188,0.08292171643184001
2077,0.06809757936520405,0.08425324863160177
2078,0.06597661285026749,0.08239772449757662
2079,0.06269206748299133,0.08556760025895405
2080,0.0704344381873904,0.0810037252078891
2081,0.06641831416813487,0.08482831272944236
2082,0.06109916496624526,0.08192257900469344
2083,0.06440700186013587,0.08337858893956708
2084,0.060051786114056725,0.0797556285757948
2085,0.058126394875507865,0.07852231356355716
2086,0.056371469819347465,0.07858392478907841
2087,0.05571885272731408,0.07773931642572984
2088,0.05753956490819204,0.07692336507307321
2089,0.06223555346344084,0.07790623670137736
2090,0.053792324165197934,0.0766329354434698
2091,0.05285854793104239,0.07620992741389937
2092,0.05580403662130115,0.07542821131338831
2093,0.05040575628263266,0.07763747648745611
2094,0.049116954633272175,0.07364525770221772
2095,0.051482116155063096,0.07513581328364538
2096,0.045513817997501836,0.07593870176489839
2097,0.04640717928347987,0.07386269799961193
2098,0.049392480406086715,0.07536205920430257
2099,0.04870649376537628,0.07595673165892419
