Year,rcp45_ndvi,rcp85_ndvi
1982,0.09853011185100233,0.09853011185100233
1983,0.10589044155789272,0.10589044155789272
1984,0.10033922029542984,0.10033922029542984
1985,0.10469863755651383,0.10469863755651383
1986,0.10277246953473032,0.10277246953473032
1987,0.0987762464119511,0.0987762464119511
1988,0.11131864733042532,0.11131864733042532
1989,0.08735577110319659,0.08735577110319659
1990,0.10792069562572924,0.10792069562572924
1991,0.11610344622567087,0.11610344622567087
1992,0.10503996313756232,0.10503996313756232
1993,0.11929514208839362,0.11929514208839362
1994,0.12909254058721362,0.12909254058721362
1995,0.12934307734441292,0.12934307734441292
1996,0.09535374598934028,0.09535374598934028
1997,0.12566982005479024,0.12566982005479024
1998,0.11082034461013736,0.11082034461013736
1999,0.11331838382013686,0.11331838382013686
2000,0.1199945345438786,0.1199945345438786
2001,0.12707970108983874,0.12707970108983874
2002,0.1359341620994312,0.1359341620994312
2003,0.11005665419412257,0.11005665419412257
2004,0.11020851701712983,0.11020851701712983
2005,0.10777063252413024,0.10777063252413024
2006,0.10111584539983956,0.10111584539983956
2007,0.11052880268962798,0.11052880268962798
2008,0.10640373116688652,0.10640373116688652
2009,0.11157894660519198,0.11157894660519198
2010,0.10045971099633406,0.10045971099633406
2011,0.1029336158127718,0.1029336158127718
2012,0.09393780546062924,0.09393780546062924
2013,0.10873183912779752,0.10873183912779752
2014,0.09482101550484594,0.09482101550484594
2015,0.09941543235989207,0.09941543235989207
2016,0.10674504380029898,0.10674504380029898
2017,0.1124234561653121,0.1124234561653121
2018,0.1145486940910718,0.1145486940910718
2019,0.114275629766191,0.114275629766191
2020,0.1111285659727152,0.1111285659727152
2021,0.11205678611082416,0.11338475376934146
2022,0.11281015149521405,0.11249201032532012
2023,0.11208209258600267,0.11360206798967146
2024,0.11336142825426862,0.11235565120262657
2025,0.11361511713625876,0.11507673643564535
2026,0.11274329692382072,0.1139657007331062
2027,0.11511167057119255,0.11597673026525387
2028,0.11370281721879212,0.1170077309968696
2029,0.11613196473301154,0.11727851646269526
2030,0.11541696779891016,0.11552702118611564
2031,0.11653181324250875,0.11772383583898405
2032,0.11491738364327506,0.11903728154051095
2033,0.11723536787658675,0.11755998856168255
2034,0.1184663963419248,0.11967836519602007
2035,0.11775441605155434,0.11923887642833793
2036,0.11952341070320835,0.12087453484425086
2037,0.12022605662497135,0.12054081532878246
2038,0.1186977817168137,0.1205911272801678
2039,0.11857162495684807,0.11961660040338085
2040,0.12092626846941852,0.12086628153199624
2041,0.12083824082055708,0.12082390344688268
2042,0.12080974147602826,0.12298327220381527
2043,0.12001719093869605,0.1227757619215662
2044,0.12117424320618644,0.12283820970111065
2045,0.121330682601194,0.12401491381370605
2046,0.12153640689632104,0.12565421429590012
2047,0.1220163519432768,0.12690368472760755
2048,0.12304597963297036,0.12584347077053026
2049,0.12370323027775353,0.12511291421417878
2050,0.12421259834927467,0.1255366915900021
2051,0.12453719970984793,0.12613041749736542
2052,0.1233176431203782,0.12802135565620582
2053,0.12512056850817674,0.1291679658375636
2054,0.12599730537978754,0.12951620592742494
2055,0.12722831163181028,0.12890733921876746
2056,0.12457359922218765,0.13053390177046212
2057,0.12614910050000727,0.1310192489105762
2058,0.1253027953778508,0.13126981781445626
2059,0.12763926904972278,0.1337147493223999
2060,0.12813212920962114,0.13131527352050848
2061,0.12743589350885087,0.13391568937691364
2062,0.12770250503155736,0.13391179631632552
2063,0.13015735144616294,0.13494448791627944
2064,0.12757684811787687,0.13386384088602818
2065,0.12997409237725513,0.13697757342825412
2066,0.129166177598356,0.13622575352067412
2067,0.1289716003155904,0.13824563896306272
2068,0.1307023928530561,0.1369285219888011
2069,0.13128047178972907,0.1380668141971001
2070,0.1322948087237358,0.1390236608437294
2071,0.13220908789432312,0.13988032283429047
2072,0.13189215476228838,0.14035715130423046
2073,0.13099736696346514,0.13999390868682604
2074,0.13339291382165525,0.14014170000586282
2075,0.131488384517705,0.14082769807255704
2076,0.13141987583931605,0.14289294777212816
2077,0.13216877529674964,0.14345613394206988
2078,0.13318104483241505,0.14362702176400408
2079,0.13467099058279364,0.14438491222699573
2080,0.1343812750643733,0.14357889333232138
2081,0.13376083482933426,0.1454898556151703
2082,0.133034650469584,0.14548065270267352
2083,0.13174443838176514,0.1474183736760829
2084,0.13373535467251166,0.14673774988983312
2085,0.13608224697177435,0.1493113601801358
2086,0.13511274732457024,0.14823242912449974
2087,0.1359920024750071,0.15005175477938612
2088,0.13389153402786616,0.14850250067133006
2089,0.13461673318675138,0.15025641055692734
2090,0.13569556871311134,0.14956958865437375
2091,0.13396420796501418,0.15092010739073128
2092,0.135706918664163,0.15331351413868352
2093,0.1366396847359478,0.15368902051855013
2094,0.13493388165690112,0.15140135020648365
2095,0.1369108841881695,0.15247128612354194
2096,0.13723926146445076,0.15603413467965438
2097,0.1370713125661633,0.1546530145893709
2098,0.13642386483559854,0.1554755323458302
2099,0.13700697327399775,0.15466313123373293
