Year,rcp45_ndvi,rcp85_ndvi
1982,0.0932630732056172,0.0932630732056172
1983,0.1006406595591403,0.1006406595591403
1984,0.09635162193187073,0.09635162193187073
1985,0.09762855548703926,0.09762855548703926
1986,0.09526057714913523,0.09526057714913523
1987,0.09642700970020067,0.09642700970020067
1988,0.10163342422140964,0.10163342422140964
1989,0.08139566657111598,0.08139566657111598
1990,0.10299438532998152,0.10299438532998152
1991,0.10418469529181378,0.10418469529181378
1992,0.09705867854713046,0.09705867854713046
1993,0.1032752296500021,0.1032752296500021
1994,0.1146597164213214,0.1146597164213214
1995,0.1140598978034506,0.1140598978034506
1996,0.09691782542396923,0.09691782542396923
1997,0.11687081391126067,0.11687081391126067
1998,0.10822791974661664,0.10822791974661664
1999,0.11009412358348568,0.11009412358348568
2000,0.11219919387726958,0.11219919387726958
2001,0.11331680445995145,0.11331680445995145
2002,0.11998307587184255,0.11998307587184255
2003,0.09976320832282604,0.09976320832282604
2004,0.1032918935585046,0.1032918935585046
2005,0.10455862765243454,0.10455862765243454
2006,0.0980336813709652,0.0980336813709652
2007,0.10854611420638424,0.10854611420638424
2008,0.10250059390826607,0.10250059390826607
2009,0.10198047269023452,0.10198047269023452
2010,0.09747199273092401,0.09747199273092401
2011,0.09296150161024253,0.09296150161024253
2012,0.09439576749858153,0.09439576749858153
2013,0.0988960078528874,0.0988960078528874
2014,0.0930522706586496,0.0930522706586496
2015,0.0910066117135292,0.0910066117135292
2016,0.10171530722008576,0.10171530722008576
2017,0.10124366935653344,0.10124366935653344
2018,0.10516489019551443,0.10516489019551443
2019,0.10480076520580794,0.10480076520580794
2020,0.10458974868084704,0.10458974868084704
2021,0.10533219529849253,0.10596667636999964
2022,0.1050386384243499,0.10516245707409394
2023,0.10550595882264466,0.10547550586727936
2024,0.1058058669466832,0.10559395091481924
2025,0.10597474302225282,0.10648659367036524
2026,0.10588558363645006,0.1062485876261528
2027,0.10606449854084836,0.10759574018686764
2028,0.1067129000639468,0.10777369443837596
2029,0.10716563926147664,0.10799847771683203
2030,0.10666982687659886,0.10731879899954057
2031,0.10749844626942154,0.10844767090061648
2032,0.10714222087577092,0.10859407635466406
2033,0.10843747608857332,0.1088515956895886
2034,0.10886509985626196,0.1095711648047936
2035,0.10835909144031156,0.108997261946644
2036,0.10939962641250564,0.11024153658737727
2037,0.10967584403187967,0.1096400169122378
2038,0.10913280496788808,0.10989356652983323
2039,0.10897483796197346,0.11037066473395807
2040,0.11005333901895714,0.1106199365067593
2041,0.11034019304016338,0.11073123131918028
2042,0.10994546014156176,0.11178140519449696
2043,0.10992354837847597,0.11186692386411452
2044,0.1101863684294879,0.11141428969735716
2045,0.11091990951410166,0.11143978368023276
2046,0.11069221884459436,0.11315509796279208
2047,0.11149674916694352,0.11298908847603772
2048,0.11177349802437787,0.11307834101568527
2049,0.11209471181590536,0.11315961363605424
2050,0.11220093797267523,0.1135964490687171
2051,0.11276063456405293,0.11332306515407616
2052,0.11232104578250984,0.11487501138412876
2053,0.11301409906153688,0.1153530630845888
2054,0.11333941240871225,0.1155679253778017
2055,0.11334438739329725,0.11581624316919127
2056,0.1131854132583242,0.11589333899966088
2057,0.11317608246565228,0.11710250179840208
2058,0.11373635200660835,0.1166914610157698
2059,0.11421343094407835,0.11761238654481355
2060,0.1140965489014268,0.11682074416709272
2061,0.1140447549250202,0.11854361910970695
2062,0.11406833290969336,0.1183592401619348
2063,0.11503228601502614,0.1187109329758455
2064,0.1145909712350446,0.1187171213273072
2065,0.11591618319303355,0.11959774862965175
2066,0.11533525381534245,0.11976090499529472
2067,0.1148591475584603,0.11994985301150027
2068,0.1158122043975259,0.1202309365596462
2069,0.11609062333758338,0.12057778019141355
2070,0.1166290742808316,0.12119028146717956
2071,0.11655475854212735,0.12143738638183335
2072,0.1166426741973394,0.12165308148241202
2073,0.1171173137483258,0.12199077933452372
2074,0.11790992669577274,0.12219270236320115
2075,0.11720672821152504,0.122248318942978
2076,0.11699315680704545,0.12360481918584655
2077,0.11766543717516115,0.12380744823814578
2078,0.11745006357875035,0.12399209523625924
2079,0.11804704055377245,0.12479716288537387
2080,0.11836983318838025,0.12422305723709505
2081,0.11862118567636715,0.1250407668400475
2082,0.11755208405453113,0.12501317137998394
2083,0.11749797905056199,0.12617698986081324
2084,0.11877297963946115,0.1258285312009607
2085,0.11907868141097447,0.12667246811292468
2086,0.11885455567733473,0.12633113440738394
2087,0.11892118920800945,0.12727135299158254
2088,0.1187775393029246,0.12740624443570633
2089,0.11896483736344075,0.12793190768383922
2090,0.11963271815290084,0.12765073844100452
2091,0.1189523140460534,0.12826782295368744
2092,0.11953649707548887,0.1289946997180345
2093,0.11950098844135362,0.1294999076855999
2094,0.11948834064693875,0.12920056936988028
2095,0.1204010160507662,0.13019731253621844
2096,0.12000872130875224,0.13057807221712686
2097,0.11995736792292773,0.13042555143741494
2098,0.12052484281751008,0.13065595187863874
2099,0.1201543572378583,0.1306695636811195
