Year,rcp45_smi,rcp85_smi
1979,0.12812248503346396,0.12812248503346396
1980,0.1252557296835768,0.1252557296835768
1981,0.1371349040641329,0.1371349040641329
1982,0.1083375597362539,0.1083375597362539
1983,0.1274566484714305,0.1274566484714305
1984,0.09807141000621353,0.09807141000621353
1985,0.12457867683468632,0.12457867683468632
1986,0.118432309029545,0.118432309029545
1987,0.11017420599955044,0.11017420599955044
1988,0.12912360076407267,0.12912360076407267
1989,0.12938964379856305,0.12938964379856305
1990,0.13859197759472974,0.13859197759472974
1991,0.12787024283642098,0.12787024283642098
1992,0.1407912561870165,0.1407912561870165
1993,0.13642423548993535,0.13642423548993535
1994,0.12877079304085234,0.12877079304085234
1995,0.12899532587339255,0.12899532587339255
1996,0.13202572800825785,0.13202572800825785
1997,0.12650119313458538,0.12650119313458538
1998,0.13471817530198155,0.13471817530198155
1999,0.1355518502598865,0.1355518502598865
2000,0.13653983614214338,0.13653983614214338
2001,0.1333333863497557,0.1333333863497557
2002,0.1556577734268967,0.1556577734268967
2003,0.19210258757252646,0.19210258757252646
2004,0.17974863456204193,0.17974863456204193
2005,0.16257880228479574,0.16257880228479574
2006,0.15521697501017914,0.15521697501017914
2007,0.15474035737309988,0.15474035737309988
2008,0.14690477866173826,0.14690477866173826
2009,0.17274011203960538,0.17274011203960538
2010,0.17409115272546824,0.17409115272546824
2011,0.14677566710564266,0.14677566710564266
2012,0.13459278317926762,0.13459278317926762
2013,0.15783568805773274,0.15783568805773274
2014,0.15632972344513438,0.15632972344513438
2015,0.16829963874609802,0.16829963874609802
2016,0.17327314246360953,0.17327314246360953
2017,0.16447652512342226,0.16447652512342226
2018,0.1552733049589441,0.1552733049589441
2019,0.16126299886154205,0.16126299886154205
2020,0.16092046551403846,0.16092046551403846
2021,0.1639207699446779,0.16209881435090068
2022,0.16294947895047884,0.16243456350157282
2023,0.1609180005392364,0.15527239638420615
2024,0.15781168451383626,0.15605772550458352
2025,0.15826996140461658,0.157976492412434
2026,0.1548790687284525,0.15752963951280882
2027,0.15573744721816707,0.1593543848210634
2028,0.1531977316813335,0.1574361479563878
2029,0.15792299047450942,0.15939054388904533
2030,0.1541617055434983,0.15624031674313665
2031,0.1566638699254328,0.15631310493045486
2032,0.1522797471922276,0.15622228725394788
2033,0.15836788866382984,0.1595455488311295
2034,0.15721278020098609,0.15886261526251896
2035,0.15770167815358074,0.15300512862873744
2036,0.15703343871497272,0.15972451378938549
2037,0.1635404258068567,0.1564938761217875
2038,0.15580219722077074,0.15727762191667705
2039,0.1559263120933344,0.1571039825661166
2040,0.1563984909019236,0.1560381228594965
2041,0.15889805930820816,0.1623911760682188
2042,0.15873233575074985,0.1604176515633875
2043,0.1536500816577572,0.1621973404153557
2044,0.15645472033751975,0.16182266789331975
2045,0.15840716847726152,0.16062921961530313
2046,0.1585805122417942,0.16012914540818698
2047,0.15410122078772487,0.16188485363166769
2048,0.15741088813111972,0.15935877178748187
2049,0.15928625968234347,0.1629014900516981
2050,0.1603734517547199,0.16167673502151295
2051,0.16259834936654755,0.1619482314626418
2052,0.16290785631553278,0.16446665539725552
2053,0.16412350452893534,0.16541033807119315
2054,0.1623989212222206,0.16474477173775914
2055,0.16063175255487167,0.1681730578001524
2056,0.16330898040101235,0.1671674296956763
2057,0.1600830393185402,0.16657057852846605
2058,0.1611815258387751,0.1654955210573852
2059,0.16149477341276447,0.16664234414476936
2060,0.1632123473220515,0.16796807993049714
2061,0.1623111987117796,0.16849782288912
2062,0.16023222103645807,0.1664857850817898
2063,0.16143334253529518,0.17391969774677854
2064,0.15996450414496613,0.16924114556968467
2065,0.1640704092129386,0.17259532409997727
2066,0.1599962071547326,0.17046940604898195
2067,0.1624885919031643,0.1735696661973242
2068,0.15946340779540988,0.17595992265373642
2069,0.16520457315778342,0.1718262868716315
2070,0.1656815092154716,0.17647048290898515
2071,0.1633944480251601,0.17338177709587174
2072,0.16461420055731435,0.1737481750292501
2073,0.16380280649803436,0.17662801497997271
2074,0.16638077277694924,0.1730331444095646
2075,0.16013314454700633,0.17150451001898998
2076,0.16327079289009175,0.1752329392306787
2077,0.16718427044051665,0.1774806721203654
2078,0.1659849849761061,0.17476132892626828
2079,0.162497588780755,0.17930527606828225
2080,0.1680074714033125,0.1811426078047278
2081,0.17216722960386205,0.1829304513838089
2082,0.16558240895432536,0.17886183510344308
2083,0.1677051006633292,0.18554159710533136
2084,0.16746547099245152,0.1803545435978688
2085,0.1636301378460893,0.18057246984755995
2086,0.1655980953733398,0.18205693731155875
2087,0.16538739762339338,0.18400924555926867
2088,0.16605518259443575,0.18140120894522047
2089,0.16734457038956646,0.18155498070907136
2090,0.16534155438139986,0.180502612312719
2091,0.16414520848177025,0.18307287736885314
2092,0.1643317670441275,0.18661561370671564
2093,0.16295154591368038,0.1832574155987433
2094,0.16182164970496732,0.18491983066082665
2095,0.16589183778669675,0.1860897055784941
2096,0.16394787802506325,0.18547791488951185
2097,0.16304273507366093,0.18634745951436185
2098,0.16947178524505993,0.1870109264069845
2099,0.16533239700072155,0.19061649664690988
