Year,rcp45_ndvi,rcp85_ndvi
1982,0.08722184314254634,0.08722184314254634
1983,0.09841931969618982,0.09841931969618982
1984,0.09383578133856528,0.09383578133856528
1985,0.08846063377317284,0.08846063377317284
1986,0.09357886061283008,0.09357886061283008
1987,0.09385522011598926,0.09385522011598926
1988,0.09682289788995817,0.09682289788995817
1989,0.08053947849634903,0.08053947849634903
1990,0.09589538004405344,0.09589538004405344
1991,0.10110914017175414,0.10110914017175414
1992,0.09483310946721207,0.09483310946721207
1993,0.09770995084366248,0.09770995084366248
1994,0.10633545247482662,0.10633545247482662
1995,0.10167046336054196,0.10167046336054196
1996,0.09359295942459656,0.09359295942459656
1997,0.10728666641833656,0.10728666641833656
1998,0.10138889413479013,0.10138889413479013
1999,0.09956589009673412,0.09956589009673412
2000,0.10095690230936584,0.10095690230936584
2001,0.10755075865282826,0.10755075865282826
2002,0.1182480936973818,0.1182480936973818
2003,0.08790885088888288,0.08790885088888288
2004,0.09635809295239148,0.09635809295239148
2005,0.0917954748870532,0.0917954748870532
2006,0.08721921386067534,0.08721921386067534
2007,0.0962184642467158,0.0962184642467158
2008,0.09835541105232228,0.09835541105232228
2009,0.09071316315861314,0.09071316315861314
2010,0.09236919558757337,0.09236919558757337
2011,0.07958214312879268,0.07958214312879268
2012,0.08700396277549012,0.08700396277549012
2013,0.09572699204162777,0.09572699204162777
2014,0.08389677025852728,0.08389677025852728
2015,0.08611634000837723,0.08611634000837723
2016,0.09553947458905708,0.09553947458905708
2017,0.0916650527380218,0.0916650527380218
2018,0.09698167232616198,0.09698167232616198
2019,0.0979993479375414,0.0979993479375414
2020,0.09518851818297576,0.09518851818297576
2021,0.09589337004063872,0.09667946593278398
2022,0.0952456054608377,0.095814913332361
2023,0.09590962768017593,0.0956833311431123
2024,0.09602660769943357,0.0956984077206854
2025,0.09608321881924853,0.09675665615708083
2026,0.09576428231259546,0.09645445160878696
2027,0.09586197876689084,0.09785493833634837
2028,0.09663919831169494,0.09781810209674673
2029,0.09691749742532868,0.09772370912659714
2030,0.09589769828713872,0.09703553898537393
2031,0.09672860478959247,0.09826681373864428
2032,0.09621620809565701,0.09811996137901224
2033,0.09779564913717256,0.09845088297738112
2034,0.09814842079792307,0.09927227883211392
2035,0.09731030505835392,0.09831578811792258
2036,0.09861322808901317,0.09974911173192763
2037,0.09860174033283572,0.09846309491163337
2038,0.09791065186973802,0.09878136407896616
2039,0.09756365074641904,0.0993730810334296
2040,0.09845663859303476,0.09923876071228374
2041,0.09871075818705356,0.09946278777475136
2042,0.09823731753230837,0.10051295799559078
2043,0.09779845752524884,0.10048561629675536
2044,0.09820523691014374,0.0997275974460348
2045,0.09880396691884152,0.0992783233308224
2046,0.09824565706310932,0.10174124740482228
2047,0.09928524883351857,0.10080002535495293
2048,0.09957542249228446,0.10111213633091984
2049,0.10006440108078854,0.10091725961540447
2050,0.09970049348691754,0.10148098281097828
2051,0.1001696938574696,0.10079197491843413
2052,0.09953883143643344,0.10263410216310513
2053,0.10017791038936996,0.10317423555984492
2054,0.1003168186898499,0.10315792561870077
2055,0.10021806319732844,0.1031526026324598
2056,0.09988526117443887,0.10329913395815836
2057,0.09969764202853552,0.10469621284210844
2058,0.10025734722339702,0.10378110221344684
2059,0.10052719202679794,0.1047539148649754
2060,0.10041691345716723,0.10368538330875253
2061,0.09990304107569542,0.1056811528884844
2062,0.09971183449599813,0.10531460692072156
2063,0.10095194840589697,0.10525268619084567
2064,0.10053587288481056,0.10546368404692556
2065,0.10178270647369718,0.10605246167849226
2066,0.10080728833659723,0.10608332596406864
2067,0.10008433369756388,0.10632716753309107
2068,0.10134014144198436,0.10622160329932706
2069,0.10124706533919092,0.10655563230829056
2070,0.10180229566047126,0.1071694757024129
2071,0.10140952277442446,0.10739070621424417
2072,0.10143505048218364,0.1074308334849258
2073,0.1022570621660298,0.10754687450147636
2074,0.10292286511807684,0.10795097064839428
2075,0.10169023985240454,0.10777554807546204
2076,0.1012185332651501,0.10945080759383399
2077,0.10196771275315857,0.10904787272520994
2078,0.10116245520983007,0.10953259486864714
2079,0.10191187961600873,0.11035678324446074
2080,0.1024348146054617,0.10925178098908196
2081,0.10217952140589896,0.11012375997549513
2082,0.10078929197522712,0.10996279449628593
2083,0.10058395962413068,0.11117439100323458
2084,0.10234807249114404,0.11067077756437968
2085,0.10238941304268012,0.11149630257299893
2086,0.10190992690461048,0.1107796803658874
2087,0.10181419859047404,0.11159323730278786
2088,0.10146933165384456,0.11194896811954214
2089,0.10165871182421776,0.11237877104403997
2090,0.1022693229574583,0.11184505390555298
2091,0.10115326892410806,0.11283285872311374
2092,0.10171606753193432,0.11301491125845575
2093,0.10155566197656506,0.11392718093367304
2094,0.10167258377156534,0.11333329495245716
2095,0.10273397194219176,0.11436606912973216
2096,0.10196076409699303,0.11462970330662665
2097,0.10150899818977664,0.11391401956066262
2098,0.1023708226935756,0.114237827257203
2099,0.10164209679854748,0.11416277178905175
