Year,rcp45_ndvi,rcp85_ndvi
1982,0.0967704133064516,0.0967704133064516
1983,0.10421527602766577,0.10421527602766577
1984,0.09782979110663084,0.09782979110663084
1985,0.10216361097110216,0.10216361097110216
1986,0.0938801733310932,0.0938801733310932
1987,0.10587138076836916,0.10587138076836916
1988,0.09887354040658602,0.09887354040658602
1989,0.08016606812836022,0.08016606812836022
1990,0.10171412970430108,0.10171412970430108
1991,0.10080696789594534,0.10080696789594534
1992,0.10408054365479393,0.10408054365479393
1993,0.09940867215501792,0.09940867215501792
1994,0.10668304771505377,0.10668304771505377
1995,0.11749952746975804,0.11749952746975804
1996,0.1053321537578405,0.1053321537578405
1997,0.11695553140400985,0.11695553140400985
1998,0.11478949652777776,0.11478949652777776
1999,0.1159076430891577,0.1159076430891577
2000,0.1123055625560036,0.1123055625560036
2001,0.10661044431843636,0.10661044431843636
2002,0.11840619049619175,0.11840619049619175
2003,0.10306431486615143,0.10306431486615143
2004,0.1125193387376792,0.1125193387376792
2005,0.10617547148017473,0.10617547148017473
2006,0.10004887187780018,0.10004887187780018
2007,0.10740575646841398,0.10740575646841398
2008,0.09197113365255376,0.09197113365255376
2009,0.10507535982302868,0.10507535982302868
2010,0.09773757770497313,0.09773757770497313
2011,0.08689006846438171,0.08689006846438171
2012,0.09628130950380824,0.09628130950380824
2013,0.09806368482582883,0.09806368482582883
2014,0.09287422645049284,0.09287422645049284
2015,0.09419976128472222,0.09419976128472222
2016,0.09649035163250448,0.09649035163250448
2017,0.09991495330701164,0.09991495330701164
2018,0.08972342104894714,0.08972342104894714
2019,0.0975449330472019,0.0975449330472019
2020,0.09709893215822953,0.09709893215822953
2021,0.09905726548081327,0.0990455830071397
2022,0.0974188527209448,0.09812223438117396
2023,0.09799993346131264,0.0961403508936136
2024,0.09789527714329364,0.09678612165933087
2025,0.09820472325484922,0.09800732015294182
2026,0.09581345597559604,0.09687424193459987
2027,0.0961070667700274,0.09943389239170668
2028,0.09653103223806142,0.09762129031274117
2029,0.09685798415010426,0.0978702822363402
2030,0.09594755635721128,0.09715358693488732
2031,0.0964163203968782,0.09785333044108846
2032,0.0955659110753469,0.09695308626081717
2033,0.09702204316090893,0.09820565813887663
2034,0.09708779208562282,0.09787283238717186
2035,0.09640389926417127,0.09586188748586097
2036,0.09678958014557318,0.09807353400687112
2037,0.09773129410685223,0.09582509075917862
2038,0.0959910858507848,0.09656852440451127
2039,0.0943115966545026,0.09752644646649136
2040,0.09549803357610596,0.0960117811965108
2041,0.0962640911699266,0.09746305911496582
2042,0.09483104687601304,0.09712767968003044
2043,0.09459949465513054,0.09713801366662196
2044,0.09430740024814102,0.09704028797958096
2045,0.09475250396495853,0.09600166387159956
2046,0.09481995734213104,0.09638706059705718
2047,0.09329514797979248,0.0967964913604536
2048,0.09364846906600788,0.09609774838840256
2049,0.09448428023475576,0.09743911562709223
2050,0.09468769058514384,0.096561338082331
2051,0.0953809983266368,0.09574651215155078
2052,0.09489460496432588,0.09728967528461008
2053,0.09510210718805884,0.09753678912561296
2054,0.0949711873169975,0.09688876932915187
2055,0.09379218911021496,0.09759296788771146
2056,0.09423958252085153,0.09762323421927577
2057,0.0926697872121475,0.09832956480695366
2058,0.09324179320847732,0.09786947217936852
2059,0.09389026852972802,0.09703680644592416
2060,0.09339830646633898,0.09724411513012476
2061,0.09302757767996413,0.09809941614555452
2062,0.09190979566572947,0.09693167033866162
2063,0.09233626447161128,0.09911447447091223
2064,0.09118870920386564,0.09733028996074966
2065,0.0926832270101988,0.09793289766950684
2066,0.09062816767207647,0.09780791793258707
2067,0.09084594684466678,0.09850371994120256
2068,0.08990608220631666,0.0988844000464352
2069,0.09137369721680964,0.0978819599481961
2070,0.09151476783411314,0.09925902882470143
2071,0.09070615847707353,0.09801334491987324
2072,0.09082501288753364,0.09837183637941968
2073,0.09055388350682464,0.09822637243320914
2074,0.0912747969763288,0.097834426795516
2075,0.08877367680373943,0.09652109582434422
2076,0.08956168413508339,0.09892541444367878
2077,0.09047830316331626,0.0985797183398695
2078,0.08933124844614046,0.09789897289290428
2079,0.08827690885809883,0.09938326818938033
2080,0.09034143254476816,0.09890490969521563
2081,0.09045910467425224,0.09932633370742017
2082,0.08761692528876823,0.0983451783200826
2083,0.08846329425263914,0.10089291992467207
2084,0.08842267545496016,0.0986393785634444
2085,0.08706231376988342,0.0986477520134873
2086,0.08754514174979777,0.09882666424643256
2087,0.08674416061604616,0.09862360589566192
2088,0.08684219768291385,0.09905980829446986
2089,0.08727531492635955,0.09905634502591676
2090,0.08610857069269676,0.09753624684383412
2091,0.08538458389353525,0.09856960127138352
2092,0.08546055610675042,0.09833759718624213
2093,0.08494912512599445,0.09899865386148787
2094,0.08378339452885558,0.09864817934944542
2095,0.08508480403824839,0.09929801458164564
2096,0.08319602845991242,0.09931181239744022
2097,0.08353672432605347,0.09898838686540984
2098,0.08537844265500216,0.09845960982253628
2099,0.08402495715548301,0.09991752867834806
