Year,rcp45_smi,rcp85_smi
1979,0.1803893583366669,0.1803893583366669
1980,0.1613583622208561,0.1613583622208561
1981,0.1833994072603892,0.1833994072603892
1982,0.13191119734063206,0.13191119734063206
1983,0.1471219579857516,0.1471219579857516
1984,0.15635442159262047,0.15635442159262047
1985,0.13657027554799275,0.13657027554799275
1986,0.14999104695147775,0.14999104695147775
1987,0.16748765003250307,0.16748765003250307
1988,0.1950627752097256,0.1950627752097256
1989,0.17552299959113798,0.17552299959113798
1990,0.1751936372504177,0.1751936372504177
1991,0.21135707073901072,0.21135707073901072
1992,0.21626785002559065,0.21626785002559065
1993,0.21269354762801204,0.21269354762801204
1994,0.22440269194453602,0.22440269194453602
1995,0.2066049690706184,0.2066049690706184
1996,0.21510202338896608,0.21510202338896608
1997,0.1890458486166345,0.1890458486166345
1998,0.19915502617158085,0.19915502617158085
1999,0.20169462640601468,0.20169462640601468
2000,0.19581289176481315,0.19581289176481315
2001,0.1960889747343868,0.1960889747343868
2002,0.21051179357321867,0.21051179357321867
2003,0.21548466510083306,0.21548466510083306
2004,0.2171344527279038,0.2171344527279038
2005,0.20602444568312311,0.20602444568312311
2006,0.21211483966873354,0.21211483966873354
2007,0.1870333889880812,0.1870333889880812
2008,0.17024856015860315,0.17024856015860315
2009,0.22106340707066546,0.22106340707066546
2010,0.2150653471429664,0.2150653471429664
2011,0.20489821376570733,0.20489821376570733
2012,0.17906317653426204,0.17906317653426204
2013,0.17199896617108082,0.17199896617108082
2014,0.16969618739851985,0.16969618739851985
2015,0.19478650839932,0.19478650839932
2016,0.18288633047816266,0.18288633047816266
2017,0.1934158141354481,0.1934158141354481
2018,0.21352602487587066,0.21352602487587066
2019,0.21662229582439296,0.21662229582439296
2020,0.21641325687416071,0.21641325687416071
2021,0.217844621226567,0.2195423411603542
2022,0.21712105963182252,0.21938654773760194
2023,0.2150684709399024,0.21834935934680552
2024,0.2183584763172733,0.22060852146462773
2025,0.2170113923702278,0.21856558565383813
2026,0.2188798021253077,0.2212392572483455
2027,0.22152127939009533,0.2231266056271485
2028,0.2179953005163692,0.2185178364879626
2029,0.21678381294347784,0.2180066861292277
2030,0.21977149564717588,0.21898972785721835
2031,0.22243426343603187,0.22462957372388212
2032,0.22183818458470134,0.2187878864742797
2033,0.2283807034655989,0.2206259821616788
2034,0.2215265947971168,0.2240397805680776
2035,0.2227696396589928,0.2202757411734163
2036,0.22574777880670385,0.2236124738199549
2037,0.2269440872838545,0.22611105902395284
2038,0.2247152196583487,0.22423231534267687
2039,0.2218137924721688,0.227200118359559
2040,0.22451474659044554,0.2293858983440253
2041,0.22749115124568695,0.2279972138180151
2042,0.2283094169693888,0.2255180571575245
2043,0.225307916159124,0.2283075994440629
2044,0.22796747942348874,0.2290269405003073
2045,0.2267325682274321,0.2302655315205629
2046,0.22783684143162025,0.2322521731153188
2047,0.22600437483825786,0.2375610781277346
2048,0.22680563019929426,0.2311344471991697
2049,0.2291910778873561,0.2356145924371676
2050,0.23035114918660865,0.2366309842271181
2051,0.23418359950242096,0.23656501436081265
2052,0.228911447996206,0.24094846275252266
2053,0.23422254379872395,0.2365083957928009
2054,0.2289839566962892,0.2419751929081396
2055,0.2327729151935255,0.2455074119974709
2056,0.22990726610385506,0.24408053101064606
2057,0.2322994201285416,0.2440918684341573
2058,0.2317794953573674,0.2442553512136929
2059,0.2360439045827001,0.24642574533216266
2060,0.2348028374725729,0.2498761107521744
2061,0.2386334672476009,0.2474614575398765
2062,0.2304290016750335,0.24754560892731398
2063,0.23776256898894435,0.2451523420764321
2064,0.2355839831797155,0.2467829502468903
2065,0.23254795652724125,0.2496088342874701
2066,0.2379350297214459,0.2466133950302776
2067,0.23371799515898284,0.2489355620075309
2068,0.2342120720193308,0.25478803638390946
2069,0.2355976997345505,0.2518817729974657
2070,0.24245049653005565,0.2542494043029708
2071,0.23797707758364536,0.2593882318589469
2072,0.2373912944567313,0.2548913075524163
2073,0.23499776133387296,0.2546223192543972
2074,0.23590740439660424,0.26095280130835985
2075,0.23829736951344066,0.2571527387488916
2076,0.2387712945252837,0.2600312803251285
2077,0.23798075741057664,0.2616820157191777
2078,0.23793856417855105,0.2653443170348463
2079,0.236833483285572,0.26499056019763195
2080,0.2449627228110983,0.2626749864195226
2081,0.2417756847161237,0.26781945497667226
2082,0.2386762448654394,0.27082181011202244
2083,0.2385762372381647,0.26421468553129257
2084,0.2374170031808484,0.2641757772839369
2085,0.2394620277228112,0.2647153235042605
2086,0.2403121528514957,0.2733577143851401
2087,0.2350127845674947,0.2673782128470725
2088,0.2424504548259128,0.26858935433191194
2089,0.2392127890352121,0.2697025644860439
2090,0.2380726997896529,0.2741507687010566
2091,0.2435805692107425,0.27272342805879823
2092,0.2444250233181265,0.2678148484705646
2093,0.2378457364899305,0.2764175041973381
2094,0.2394951678492426,0.2743382052176546
2095,0.2402008082414055,0.2792209557430128
2096,0.23669067854293802,0.2833573511059843
2097,0.23749382003132904,0.2769655832505387
2098,0.2398889956135884,0.2820477475200347
2099,0.2411355030321754,0.2795253970835135
