Year,rcp45_smi,rcp85_smi
1979,0.15377037591609424,0.15377037591609424
1980,0.122061572945893,0.122061572945893
1981,0.13804109177722282,0.13804109177722282
1982,0.12038934193897542,0.12038934193897542
1983,0.12792116052964153,0.12792116052964153
1984,0.09765245892315087,0.09765245892315087
1985,0.1175557068626947,0.1175557068626947
1986,0.12693081551661065,0.12693081551661065
1987,0.1162693271696014,0.1162693271696014
1988,0.1257555462627588,0.1257555462627588
1989,0.12256599875057445,0.12256599875057445
1990,0.1383715414041336,0.1383715414041336
1991,0.1329677097568571,0.1329677097568571
1992,0.14459737535600692,0.14459737535600692
1993,0.14837462245126254,0.14837462245126254
1994,0.13767943958010834,0.13767943958010834
1995,0.13091896931084318,0.13091896931084318
1996,0.12828134826093265,0.12828134826093265
1997,0.13506917097251112,0.13506917097251112
1998,0.14868286888665827,0.14868286888665827
1999,0.15054205549021624,0.15054205549021624
2000,0.13533612891985536,0.13533612891985536
2001,0.13180650646103426,0.13180650646103426
2002,0.15136014861588135,0.15136014861588135
2003,0.18401048500840508,0.18401048500840508
2004,0.17272054004964446,0.17272054004964446
2005,0.16016220234495934,0.16016220234495934
2006,0.14839774683902138,0.14839774683902138
2007,0.1484261858204939,0.1484261858204939
2008,0.14015467026654413,0.14015467026654413
2009,0.1696868754761876,0.1696868754761876
2010,0.1676103101795303,0.1676103101795303
2011,0.1481199825511259,0.1481199825511259
2012,0.14476985163732947,0.14476985163732947
2013,0.15791001925158427,0.15791001925158427
2014,0.15902542255980312,0.15902542255980312
2015,0.15993499755859375,0.15993499755859375
2016,0.16127982597232973,0.16127982597232973
2017,0.15411584812790247,0.15411584812790247
2018,0.15426791636936435,0.15426791636936435
2019,0.16421175732075013,0.16421175732075013
2020,0.1645580943536319,0.1645580943536319
2021,0.1670728775542168,0.1673411414700249
2022,0.16587750204948915,0.1664749437802187
2023,0.164729814740341,0.15991222631563973
2024,0.16441086775021202,0.16200129020611825
2025,0.1649844875957851,0.1633990617806544
2026,0.1593241727900812,0.16217681432571374
2027,0.1616160377722278,0.16665661266915308
2028,0.1592781598377756,0.16277626928904065
2029,0.1623510724161003,0.16399238814265946
2030,0.16170705879045782,0.16415002525711475
2031,0.1623608938063247,0.16458214296972493
2032,0.1593142422753112,0.1620304260498994
2033,0.16373613829809786,0.1651956123843605
2034,0.1632848994661387,0.16513686176973222
2035,0.16372521021499709,0.15939031123404682
2036,0.16244074369831066,0.16426096743686278
2037,0.16509213410770168,0.16509213410770168
2038,0.1615160575845982,0.1615160575845982
2039,0.16141105225145666,0.1649227964439888
2040,0.1621485638429243,0.1615947400332069
2041,0.1661398906820077,0.16797157822994466
2042,0.16493906694921506,0.1659555798219561
2043,0.16244079768319047,0.16722477387937013
2044,0.1630773999064193,0.16950294139044186
2045,0.16188223165970245,0.16628273215014444
2046,0.1654739891806889,0.16564120997901738
2047,0.16056011346746696,0.16794871260131514
2048,0.1625685088125538,0.16530761854441264
2049,0.16451067054746435,0.16904289403577166
2050,0.16548998871874776,0.1666572098180246
2051,0.1688010278911723,0.1674554582732458
2052,0.1688763715901325,0.16973952523062305
2053,0.1694632592980686,0.1701307546645609
2054,0.16717300677825814,0.16921270582948006
2055,0.16515328732007967,0.17289852964427266
2056,0.16822178089490952,0.1743338576299086
2057,0.16514550343181328,0.17194966655864485
2058,0.16606283918605613,0.1735650148219383
2059,0.16878236826844634,0.1714237360416024
2060,0.16871338310050918,0.17563439076195322
2061,0.16823548673945626,0.1719375906998552
2062,0.1655628964407621,0.17226502008929212
2063,0.1672067668625182,0.18026659548368915
2064,0.1662746962931379,0.17376237594440275
2065,0.1683602897693831,0.17744981831744802
2066,0.16668625612345891,0.17546938676304166
2067,0.1669355609876737,0.17905526240466146
2068,0.1644967427325885,0.18039609582622
2069,0.16932336123006475,0.17636160980024604
2070,0.17157950924946094,0.1826625996021277
2071,0.16962092429421946,0.18104556128955773
2072,0.16966320656730105,0.17973500798233982
2073,0.167456051658498,0.17936796775559322
2074,0.1698398943925154,0.1782354614801902
2075,0.16408780374915904,0.17593627531882244
2076,0.16901988652717784,0.18076486592240915
2077,0.17135335785200076,0.1809427739122904
2078,0.17042724632700074,0.17889757348176766
2079,0.1659325201196659,0.18135395714824595
2080,0.1729884299603312,0.18410687690363567
2081,0.17461655856360994,0.1852473678682976
2082,0.17047499049927906,0.18245658808925386
2083,0.17178154435744913,0.18824297781025795
2084,0.17031820876970993,0.18435459081994504
2085,0.16880629498351785,0.1843864639900212
2086,0.1683671625700202,0.18592672625824225
2087,0.16954710301091494,0.18579492799846845
2088,0.17051554087674406,0.1858563253419032
2089,0.17309051476356233,0.1865203791887888
2090,0.16846431544125873,0.18275489675820786
2091,0.1679654801910294,0.1873393753453416
2092,0.16880554020722802,0.1871085900989736
2093,0.16762289636299882,0.18590341606912708
2094,0.1660267879505639,0.18471946746457785
2095,0.17050446154108118,0.1863555513257067
2096,0.1672374711547428,0.1918648683264074
2097,0.16872808848883375,0.1885884099315593
2098,0.17384629492387108,0.19064294609923085
2099,0.1706388670059876,0.19366138836131527
