Year,rcp45_ndvi,rcp85_ndvi
1982,0.08097075693535083,0.08097075693535083
1983,0.09046677387121953,0.09046677387121953
1984,0.0865105354424679,0.0865105354424679
1985,0.09103725895737157,0.09103725895737157
1986,0.0794061313975941,0.0794061313975941
1987,0.08459981282552083,0.08459981282552083
1988,0.08588900710597183,0.08588900710597183
1989,0.06396326874241684,0.06396326874241684
1990,0.09151053428649902,0.09151053428649902
1991,0.0862331823869185,0.0862331823869185
1992,0.08659439375906279,0.08659439375906279
1993,0.08425788445906206,0.08425788445906206
1994,0.09314957532015714,0.09314957532015714
1995,0.09533045508644797,0.09533045508644797
1996,0.08650578874530214,0.08650578874530214
1997,0.10222890160300514,0.10222890160300514
1998,0.09976519237865104,0.09976519237865104
1999,0.0957414164687648,0.0957414164687648
2000,0.09617892901102702,0.09617892901102702
2001,0.0946494449268688,0.0946494449268688
2002,0.08782456137917259,0.08782456137917259
2003,0.07545354149558328,0.07545354149558328
2004,0.07691564704432632,0.07691564704432632
2005,0.07712797685102983,0.07712797685102983
2006,0.07783001119440253,0.07783001119440253
2007,0.08701470403960257,0.08701470403960257
2008,0.07383385571566495,0.07383385571566495
2009,0.0761007106665409,0.0761007106665409
2010,0.07609449010906798,0.07609449010906798
2011,0.07179546356201172,0.07179546356201172
2012,0.07699883345401648,0.07699883345401648
2013,0.0819782271529689,0.0819782271529689
2014,0.07509303092956543,0.07509303092956543
2015,0.07015830820257013,0.07015830820257013
2016,0.07343808087435635,0.07343808087435635
2017,0.07754453023274739,0.07754453023274739
2018,0.0738149845238888,0.0738149845238888
2019,0.0803208931691997,0.0803208931691997
2020,0.08087173087747516,0.08087173087747516
2021,0.08086439983021132,0.08013136592506027
2022,0.07990214255067463,0.07934794757573654
2023,0.07857380735039829,0.08013068979467455
2024,0.08008720757607675,0.07958856462725858
2025,0.07938436484489876,0.07942890599067774
2026,0.07704699177084923,0.07875640917696655
2027,0.08000176770373202,0.0800428958505967
2028,0.07913178595761143,0.07961203429778949
2029,0.07784994947560299,0.07960183600250335
2030,0.07662135534187031,0.07941378127961067
2031,0.0779052908846315,0.08129580851116462
2032,0.07703418799734799,0.07927751598559002
2033,0.07673848654943194,0.0793552765458654
2034,0.07846223374367027,0.07951020092199254
2035,0.07670572219375582,0.07881861739453395
2036,0.07832904595059446,0.08020942759573013
2037,0.07647959719628722,0.07768105657808333
2038,0.0781927690570068,0.07995080317267869
2039,0.07641839275625573,0.08052695996750034
2040,0.07748548980500226,0.07941148855665603
2041,0.07562632729424494,0.07863941466835153
2042,0.07437198146135393,0.07948536871962897
2043,0.0745055479725561,0.07865461113204951
2044,0.07322893990492453,0.07808855138915778
2045,0.07511717283500459,0.07767267556764998
2046,0.07515820095891372,0.07980833566303479
2047,0.07402025163287687,0.07826704501067376
2048,0.07513526491295758,0.07956356728949993
2049,0.07617868926443919,0.08017759257833944
2050,0.07539421245305232,0.0797477988240036
2051,0.0740068726597989,0.07871300284592997
2052,0.07298041304581142,0.07864710074897703
2053,0.07350992470214476,0.0800673302532057
2054,0.07379139950839023,0.07931045079282192
2055,0.07160854538807268,0.08031114130906024
2056,0.07259594051393425,0.08070654688918606
2057,0.07177630152799097,0.08165050871592988
2058,0.0728235585440975,0.08061797994178599
2059,0.0742273617168397,0.08002881670788597
2060,0.07142215479287041,0.07916466532259239
2061,0.07167190882847621,0.08110355853188488
2062,0.07009146466678813,0.0807676081293145
2063,0.0709176140162856,0.08069066997883675
2064,0.0692609882400593,0.08104478801455721
2065,0.07071176614291542,0.07971608807334317
2066,0.06967574370015868,0.08161257977130862
2067,0.06874628781108814,0.08072792008073919
2068,0.06858758150518117,0.08031596067963129
2069,0.06807255541301918,0.08096344803752835
2070,0.06830647242253482,0.08181091890582204
2071,0.06729888369732485,0.08197846671917493
2072,0.06800568226577651,0.07986833574970173
2073,0.06670110235502634,0.07946279852325662
2074,0.06755732301175177,0.08262772553539016
2075,0.06682213108786372,0.08122298773884733
2076,0.06708275856342984,0.08260528215798482
2077,0.0649040191498699,0.08282596347050628
2078,0.06418433386053662,0.08122832744534761
2079,0.06538307833265752,0.08314074030497201
2080,0.06427974998549582,0.08210346868359494
2081,0.06278455928370302,0.08178560338674952
2082,0.06189597786640296,0.0814705003972829
2083,0.06335152186720648,0.0825169103860188
2084,0.0618117892487123,0.08231850381390163
2085,0.062120044544834566,0.08237644458415821
2086,0.06272642239248455,0.08209056313412214
2087,0.06034362238240864,0.08047880069384661
2088,0.06120111463368865,0.08280219662424351
2089,0.05958996439098434,0.0827852643466554
2090,0.059375291367222235,0.08220776417687761
2091,0.05828658507520716,0.08200373088108359
2092,0.05831714506981395,0.08213450907314415
2093,0.05959472916128964,0.08505119950744948
2094,0.057855163709017075,0.08375150232088233
2095,0.05710202099030615,0.08285596021899122
2096,0.05525640256813779,0.08330696463290871
2097,0.056877528991917725,0.08249496652796756
2098,0.0561561406578002,0.08126479586465729
2099,0.05522010300178724,0.0828486491091951
