Year,rcp45_smi,rcp85_smi
1979,0.11566724220663005,0.11566724220663005
1980,0.09940289666159366,0.09940289666159366
1981,0.10476881765926828,0.10476881765926828
1982,0.10106181410798701,0.10106181410798701
1983,0.09292988212169263,0.09292988212169263
1984,0.08571205767072508,0.08571205767072508
1985,0.0872052394683759,0.0872052394683759
1986,0.08683920289331383,0.08683920289331383
1987,0.08329535276609899,0.08329535276609899
1988,0.0978345314413005,0.0978345314413005
1989,0.09623479758812577,0.09623479758812577
1990,0.09908593896132327,0.09908593896132327
1991,0.10226355324211844,0.10226355324211844
1992,0.10826696822179806,0.10826696822179806
1993,0.1099273137795878,0.1099273137795878
1994,0.11003696284412837,0.11003696284412837
1995,0.10079490673037682,0.10079490673037682
1996,0.09887794117881496,0.09887794117881496
1997,0.10174724945745052,0.10174724945745052
1998,0.10310094130475446,0.10310094130475446
1999,0.1030819357990197,0.1030819357990197
2000,0.09814162520936777,0.09814162520936777
2001,0.09646814434792036,0.09646814434792036
2002,0.10821135490707047,0.10821135490707047
2003,0.12725155046401,0.12725155046401
2004,0.11903898000165795,0.11903898000165795
2005,0.11657337888765135,0.11657337888765135
2006,0.11149305526033873,0.11149305526033873
2007,0.11316112258323698,0.11316112258323698
2008,0.1047505428151782,0.1047505428151782
2009,0.12131045760143178,0.12131045760143178
2010,0.1157184715514896,0.1157184715514896
2011,0.11716617796473268,0.11716617796473268
2012,0.10770166028909756,0.10770166028909756
2013,0.1056807083007414,0.1056807083007414
2014,0.10239462397760507,0.10239462397760507
2015,0.11391428528537785,0.11391428528537785
2016,0.11145570848672802,0.11145570848672802
2017,0.106819510897752,0.106819510897752
2018,0.10664131248618386,0.10664131248618386
2019,0.10552993618729356,0.10552993618729356
2020,0.10525878428612444,0.10525878428612444
2021,0.10730718264436133,0.10625273091726473
2022,0.10705332331350237,0.1065259334399739
2023,0.10648367266582144,0.10329255054131882
2024,0.10663971166384886,0.10432485417466586
2025,0.1070106893070405,0.10617600477591063
2026,0.10550018048932903,0.10614195023061518
2027,0.10440309814976524,0.10433490205492787
2028,0.10387897829933199,0.10390149897087993
2029,0.10402011164954644,0.1039263509484905
2030,0.10460596101557636,0.1033905562225206
2031,0.10496614948009944,0.10335530640634273
2032,0.10365946221931882,0.10342534570699734
2033,0.1069192603484704,0.1043944603189974
2034,0.1042381673825678,0.10426247738693936
2035,0.10525364590300612,0.10196660887087093
2036,0.10362368302512773,0.10299979031337746
2037,0.1079539139137972,0.10329734955788414
2038,0.1041409919653477,0.10228570462021454
2039,0.1049756746079272,0.10302080621345333
2040,0.10477684352872513,0.1027128447717193
2041,0.10513871187104208,0.1045175000161114
2042,0.10567858847735424,0.10393379164402257
2043,0.10599063043625016,0.10433425715426804
2044,0.10595527193307999,0.10513007967119516
2045,0.10375577386576336,0.10415288516917848
2046,0.10442403556177188,0.10326746158302058
2047,0.10199285848431994,0.1041436864554696
2048,0.10308521646030044,0.10216846207768428
2049,0.10420501937495563,0.10500802226930032
2050,0.10490475916759584,0.10207050350396588
2051,0.10654077804984463,0.10320783674158657
2052,0.10529539110878904,0.10475293924641793
2053,0.1080708541354422,0.10331351525401763
2054,0.10413641720600496,0.10148979648287547
2055,0.1057494306932306,0.10431163974609478
2056,0.10443089769108037,0.10436328282913014
2057,0.10452669753225187,0.10376324215048907
2058,0.10238815907682478,0.10428488977837216
2059,0.10400550348952622,0.1021580193149374
2060,0.10571100397276167,0.10530240323808493
2061,0.10465774918181796,0.10203659751850806
2062,0.1033128141099306,0.1022138071024522
2063,0.1048009068163685,0.1058182562365636
2064,0.1035296822216048,0.1029095714610303
2065,0.10365439131874553,0.10454968544377287
2066,0.10321256565667528,0.10204397546869012
2067,0.10444219787711057,0.10580410240952992
2068,0.10262129442767932,0.1038367752314112
2069,0.10686787808667964,0.10348719056833597
2070,0.1051339450423636,0.10460096969969504
2071,0.10471719115761324,0.1019638073706116
2072,0.10423514432045236,0.1043141070040592
2073,0.1027992274936606,0.10361733244726927
2074,0.1044310328833274,0.10129400359947616
2075,0.10177557015915656,0.10203647454415347
2076,0.10387675613649887,0.1033746375965672
2077,0.10556412605487284,0.10457661830233976
2078,0.10613890782993393,0.10430446069288997
2079,0.10209207690753927,0.1037824747642198
2080,0.10715069597789477,0.10356976865173348
2081,0.1085013177657974,0.1048440401131678
2082,0.10544963649759956,0.10370477128329142
2083,0.1055752386416438,0.1049061304526554
2084,0.10411895600582076,0.1020350951327797
2085,0.10346703296827366,0.1025757038952934
2086,0.10381958806179628,0.10321034274447764
2087,0.10270040486642752,0.10359245641100706
2088,0.1033410749542087,0.10321978939493393
2089,0.10744854360463764,0.10346446365803756
2090,0.10309533986639073,0.10151029084182678
2091,0.10326491258749257,0.10396601822736704
2092,0.10493781285213136,0.10165874684217814
2093,0.10252080956761768,0.1010327864622891
2094,0.10376317538545313,0.1005632333910476
2095,0.10355913553150796,0.10215229972655064
2096,0.10315336978641264,0.10298412971478584
2097,0.10274691120829177,0.10152445677481907
2098,0.10543360123597967,0.10269428871540362
2099,0.1053687467174175,0.10352751687688888
