Year,rcp45_smi,rcp85_smi
1979,0.10735704202567582,0.10735704202567582
1980,0.09424347160136803,0.09424347160136803
1981,0.09293686183153,0.09293686183153
1982,0.09715090388745333,0.09715090388745333
1983,0.08672481300556555,0.08672481300556555
1984,0.07794481463136926,0.07794481463136926
1985,0.09719309342645964,0.09719309342645964
1986,0.08883523519060252,0.08883523519060252
1987,0.07620521140309562,0.07620521140309562
1988,0.10392857441859962,0.10392857441859962
1989,0.10597345470327192,0.10597345470327192
1990,0.10489770163476994,0.10489770163476994
1991,0.10559461813057418,0.10559461813057418
1992,0.10893519578781803,0.10893519578781803
1993,0.1074282046967903,0.1074282046967903
1994,0.10925365549273196,0.10925365549273196
1995,0.10030515215038198,0.10030515215038198
1996,0.10008945296295976,0.10008945296295976
1997,0.10104679006390868,0.10104679006390868
1998,0.10231769190425366,0.10231769190425366
1999,0.10519601602469926,0.10519601602469926
2000,0.1018157385091866,0.1018157385091866
2001,0.09850756889950912,0.09850756889950912
2002,0.10866710359016353,0.10866710359016353
2003,0.14106059285391748,0.14106059285391748
2004,0.12841050814738314,0.12841050814738314
2005,0.12682449712162525,0.12682449712162525
2006,0.12522120180383192,0.12522120180383192
2007,0.12213438591070935,0.12213438591070935
2008,0.10535223294148403,0.10535223294148403
2009,0.12161636352539062,0.12161636352539062
2010,0.10654860471202207,0.10654860471202207
2011,0.1097291001176412,0.1097291001176412
2012,0.10855796273830716,0.10855796273830716
2013,0.1073761408307911,0.1073761408307911
2014,0.10520783145870782,0.10520783145870782
2015,0.11721725801451015,0.11721725801451015
2016,0.11516376934220306,0.11516376934220306
2017,0.11053996803486242,0.11053996803486242
2018,0.10422213731613834,0.10422213731613834
2019,0.10361218104541042,0.10361218104541042
2020,0.10374201228000628,0.10374201228000628
2021,0.10444705508587387,0.10419791122142613
2022,0.10405378173341416,0.10462694215424266
2023,0.10397796772437323,0.10285048546394232
2024,0.10349534003212403,0.10289197126057197
2025,0.10403420710820008,0.103636769265277
2026,0.10306720389587676,0.10354263504351012
2027,0.10264417577311497,0.10239736185963408
2028,0.10245926520756704,0.10274453949174717
2029,0.10259227390169193,0.10259983530643008
2030,0.10276899825395536,0.10258464257894932
2031,0.10274463053382824,0.10232256638586078
2032,0.10313605017970216,0.10185043395985036
2033,0.10367892067621848,0.10242369969021836
2034,0.10220750092049767,0.1020729558619275
2035,0.10288618148146822,0.10180458880831042
2036,0.10241835871612184,0.10244368597638204
2037,0.10313778891960927,0.10313778891960927
2038,0.1019587104093788,0.1019587104093788
2039,0.1022935928011754,0.1016026903268545
2040,0.10253591951172672,0.10134194191060876
2041,0.10220038956479402,0.10219733760067153
2042,0.1026833782569614,0.10156274663950438
2043,0.1027384780339316,0.10238591789983084
2044,0.10254709211425388,0.1034355002994322
2045,0.10238473270589524,0.10248361043288656
2046,0.10255374407988246,0.10084961101707664
2047,0.10121588487441144,0.10196956838774757
2048,0.10140611920531456,0.1012320530813475
2049,0.10228841373350868,0.10272678339505144
2050,0.10224854175252457,0.10104619381288386
2051,0.10235360807709976,0.10191096757060507
2052,0.10280032408982014,0.10196261812745
2053,0.10340519914933664,0.10190665735906942
2054,0.10279704980640947,0.10086505863210396
2055,0.10284258955922244,0.10220176734771434
2056,0.10194137112913164,0.10168653596943657
2057,0.1019086736783036,0.10071771342022436
2058,0.1016534511941238,0.1016998983974194
2059,0.10097571613225872,0.10096393919625014
2060,0.1030896801837932,0.1018767660503575
2061,0.10238864025788492,0.1007854207461027
2062,0.10170612431538152,0.10051061627889037
2063,0.10215935316885627,0.10193242430157784
2064,0.1012308655278733,0.1009492987006185
2065,0.10204266913037592,0.10208196815511418
2066,0.1008514156416049,0.10047955420468477
2067,0.10210889908369283,0.10197673903248984
2068,0.10145795954327562,0.1018825616785635
2069,0.10280566673923053,0.1013228305949429
2070,0.10156798096751248,0.10160100893627114
2071,0.10309639333514496,0.10052518486691543
2072,0.10168423305104138,0.10102778782558512
2073,0.10122395291878776,0.10181064256500093
2074,0.10212010676776392,0.09971510287735118
2075,0.1008772946889518,0.10043389255900814
2076,0.10155224001116286,0.10125127755381738
2077,0.102837950060747,0.10154982818937763
2078,0.10283809512713374,0.10140759327426067
2079,0.10144138727169442,0.10162996645803167
2080,0.10255661559988467,0.10144193914013573
2081,0.10435640547160398,0.10142704214273436
2082,0.10243813308172056,0.1014013659148244
2083,0.1025641280802794,0.10201504249736584
2084,0.10226498569513988,0.10061794631702248
2085,0.10087764638585922,0.10173962692090928
2086,0.1023530441295158,0.10038256958704887
2087,0.10137366905547264,0.10107895490966363
2088,0.10188484719338843,0.1015811587938534
2089,0.102094058446654,0.10093644523210916
2090,0.10149669722786987,0.09980904161352523
2091,0.10196000752774008,0.10059042925224963
2092,0.10195585600655532,0.10050633488649452
2093,0.10199133235588606,0.09997606011611444
2094,0.10184732637987737,0.0997650714952835
2095,0.1010074299379779,0.10008181279696816
2096,0.10195840588201216,0.10112981870548787
2097,0.10176690518905483,0.10005798132339312
2098,0.10240244708864812,0.1004744351517525
2099,0.10254327095595303,0.10051944073546906
