Year,rcp45_smi,rcp85_smi
1979,0.10468528972760303,0.10468528972760303
1980,0.09920584649126507,0.09920584649126507
1981,0.10455417839033816,0.10455417839033816
1982,0.09740274977220573,0.09740274977220573
1983,0.1046563210978278,0.1046563210978278
1984,0.08561620856464296,0.08561620856464296
1985,0.08977219078333107,0.08977219078333107
1986,0.0827290347533916,0.0827290347533916
1987,0.09429039622142728,0.09429039622142728
1988,0.12613853196431785,0.12613853196431785
1989,0.1494970026421324,0.1494970026421324
1990,0.15354995233193844,0.15354995233193844
1991,0.15134356878402852,0.15134356878402852
1992,0.1546272514019191,0.1546272514019191
1993,0.1603804190781925,0.1603804190781925
1994,0.13714955537931967,0.13714955537931967
1995,0.13898454285766515,0.13898454285766515
1996,0.12494625918207795,0.12494625918207795
1997,0.14619563345088646,0.14619563345088646
1998,0.1454251799504477,0.1454251799504477
1999,0.15660863097749056,0.15660863097749056
2000,0.1630013934822714,0.1630013934822714
2001,0.15622556836078114,0.15622556836078114
2002,0.17505070663682842,0.17505070663682842
2003,0.1713338128262239,0.1713338128262239
2004,0.1984151863554041,0.1984151863554041
2005,0.18249467776952846,0.18249467776952846
2006,0.17119805464390975,0.17119805464390975
2007,0.19328647555851786,0.19328647555851786
2008,0.16697417136316595,0.16697417136316595
2009,0.16290791829427084,0.16290791829427084
2010,0.16916078110235555,0.16916078110235555
2011,0.1691682731787707,0.1691682731787707
2012,0.14525000597608442,0.14525000597608442
2013,0.15016007337577056,0.15016007337577056
2014,0.1559254568716534,0.1559254568716534
2015,0.15376497053087315,0.15376497053087315
2016,0.17071137726950594,0.17071137726950594
2017,0.14340438458282712,0.14340438458282712
2018,0.12605521831690966,0.12605521831690966
2019,0.14323012168571264,0.14323012168571264
2020,0.1459784910944606,0.1459784910944606
2021,0.1473324448377787,0.14861551481570476
2022,0.14920949764335428,0.14613304694947754
2023,0.1460012041637433,0.1452474610730866
2024,0.14559755729505458,0.14825979960729666
2025,0.14835474699695808,0.15029288291078768
2026,0.14993266861961574,0.1463427237691048
2027,0.14548012410197375,0.1480431304464501
2028,0.14950021488930884,0.14956194875400702
2029,0.15282323582607926,0.15214781392876164
2030,0.14942090384630036,0.14892821046359292
2031,0.15241411489768808,0.15288691109318048
2032,0.14985226449791494,0.15479208902720248
2033,0.15191829303970927,0.15102512869865925
2034,0.15320107317873144,0.15195764580456894
2035,0.15394309306745133,0.1527975494109644
2036,0.15562407968310776,0.15273389634951615
2037,0.15541162660639235,0.1527314941887677
2038,0.1517084053624163,0.15089262719243146
2039,0.15430432731368976,0.15249855516351862
2040,0.15675300301738368,0.15432618672298132
2041,0.15389918004458605,0.15225726833794562
2042,0.15423062368981322,0.15299224516683532
2043,0.15341534370729792,0.15589804863744786
2044,0.15322298817305907,0.15405787174711838
2045,0.1525624069859815,0.15251135459940685
2046,0.1541954225215763,0.15305118066490025
2047,0.15613119170957376,0.1569826375566167
2048,0.15592800192333708,0.1520434715798515
2049,0.155562375501155,0.1541580931132906
2050,0.1552039662598467,0.15558183059018973
2051,0.15671276019499858,0.15601900679520309
2052,0.15526366252274024,0.1564555227861604
2053,0.15774332277952607,0.1606629252888745
2054,0.1570589314171753,0.1553129338674234
2055,0.1556266348296087,0.1573655280290307
2056,0.15765296315360244,0.15912164418994998
2057,0.15594972656716802,0.16283750344668355
2058,0.15449395512526656,0.15745914471210165
2059,0.15654630212697473,0.16223616685186365
2060,0.15551947820451525,0.15771527672025995
2061,0.1570394028420786,0.1642530536158521
2062,0.15763070054227798,0.1616987071368332
2063,0.15726724618765564,0.16328560345904558
2064,0.154930269752983,0.15862986648444988
2065,0.1587239646011423,0.1625605983779897
2066,0.15656995110298785,0.1606763105451458
2067,0.15666658650420498,0.16084120794509782
2068,0.15800437730990513,0.16344390090428834
2069,0.1583277376012369,0.1601229244382362
2070,0.15837007827706118,0.1669146810458813
2071,0.15740692877555745,0.1620767405873233
2072,0.15841185023840915,0.1625761783464299
2073,0.15818592199991607,0.16429012083195438
2074,0.15936047757426106,0.1628737290994694
2075,0.16047946265032256,0.16227912683676474
2076,0.16083250315308034,0.16746603176649588
2077,0.16068222894958287,0.16988762748561012
2078,0.16060681238981728,0.1663160501223461
2079,0.16035501489569612,0.16914885827299708
2080,0.16153945088931904,0.16411226218025116
2081,0.16533818988400084,0.16945185041003902
2082,0.1600398395000913,0.16607296754980946
2083,0.1582697439719676,0.16968161431936282
2084,0.1593731339928642,0.17156343452556275
2085,0.1594183358143097,0.1711046535894934
2086,0.15953871234117534,0.16916966688729576
2087,0.15681850662589347,0.1743061800499594
2088,0.1599933938523403,0.17044746466231178
2089,0.1589980325210586,0.17070010842447636
2090,0.16167087259178134,0.17079015563022976
2091,0.1585763780113444,0.1709820324339561
2092,0.159260798307961,0.17419201193213268
2093,0.1584723330139692,0.17053055816136972
2094,0.15836679520848707,0.16988245047939948
2095,0.1600270353721357,0.17162985236331585
2096,0.15715668339150124,0.17002137642443949
2097,0.1588973050963769,0.17240029862800274
2098,0.1616688455846554,0.1713637289116674
2099,0.15721301019696302,0.17033475018789948
